ID,SKU,Name,Weight (lbs),Regular price,Attribute 1 name,Brand,Attribute 2 name,Product Type,Attribute 3 name,Model,Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s)
40018,005-005-0557,Action Instruments Signal Conditioner 4380-2000-1,1,190.25,Brand,Action Instruments,Product Type,Signal Conditioners,Model,4380-2000-1,Location,2014C1_LC3,eBay ID,
20646,222-056-0113,Action Instruments Signal Conditioner G408-1001 *Repaired*,1,200,Brand,Action Instruments,Product Type,Signal Conditioners,Model,G408-1001,Location,2014c3,eBay ID,
5402,219-001-0840,AG Oyako Gear Motor 3 Phase UDMD-5R,125,800,Brand,AG Oyako,Product Type,Motors,Model,UDMD-5R,Location,2014c1,eBay ID,
40059,019-001-0840,AG Oyako Geared Motor 460V UDMD-5R,30,129.99,Brand,AG Oyako,Product Type,Motors,Model,460V UDMD-5R,Location,2014c1,eBay ID,
20537,068-520-0015,Air Bag (Single Inlet) 94-1077,1,5,Brand,-,Product Type,Inlets,Model,94-1077,Location,2014c5_LC2,eBay ID,
1519,019-006-0004,Allen-Bradley Adjustable Frequency AC Drive 1333-CAB,22,700,Brand,Allen-Bradley,Product Type,Frequency Drive,Model,1333-CAB,Location,2014c1_LC2,eBay ID,
1549,MFG-000-0111,Allen-Bradley Circuit Breaker 1489-A3D030,2,120,Brand,Allen-Bradley,Product Type,Circuit Breaker,Model,1489-A3D030,Location,2014c1_LC2,eBay ID,
40016,205-005-0696,Allen-Bradley PLC 5/15 Processor 1785-LTR/B,3,45,Brand,Allen-Bradley,Product Type,PLC Processors,Model,1785-LTR/B,Location,2014C1_LC3,eBay ID,
40683,MFG-000-2018,Allen-Bradley Variable Frequency Drive 1305-BAO3A-HA1,10,386.99,Brand,Allen-Bradley,Product Type,Frequency Drive,Model,1305-BAO3A-HA1,Location,2014C1_LC4,eBay ID,
4178,004-003-0087,AMI Flange Bearing UCF206-30,4,21,Brand,AMI Bearings,Product Type,Bearings,Model,UCF206-30,Location,2014c2,eBay ID,
20521,064-003-0012,Applied Robotics Tool Changer XC1R-2506SLHOP,2,1250,Brand,Applied Robotics,Product Type,Tool Changer,Model,XC1R-2506SLHOP,Location,2014C5_LC4,eBay ID,
20697,"035-800-0020, 035-800-0019",ATC Master Plate QC10AM,2,50,Brand,Cognex,Product Type,ATC Master Plate,Model,QC-10A-M-K20A,Location,2014c6_LC1,eBay ID,
1461,005-017-0076,Aten 4 Port VGA Video Splitter VS94A,3,61,Brand,Aten,Product Type,Video Splitter,Model,VS94A,Location,2014c3_LC1,eBay ID,
20600,005-031-0002,Atlas Copco RE Qualifier 9810705080,4,750,Brand,Atlas Copco,Product Type,RE Qaulifier,Model,9810705080,Location,2014c2,eBay ID,
1548,MFG-000-0110,Atlas Copco RE Qualifier II 9810-7050-80,12,981,Brand,Atlas Copco,Product Type,Controller,Model,9810-7050-80,Location,2014c2,eBay ID,
20536,068-514-0005,Auburn Spark Plug 16946001,1,12,Brand,Auburn,Product Type,Spark Plugs,Model,16946001,Location,2014c5_LC2,eBay ID,
43898,076-506-0055,Augur Screw Drill 13-106,,2000,Brand,-,Product Type,Augur,Model,13-106,Location,2014C5_LC4,eBay ID,
20580,068-431-0007,Autogard Clutch 202-RR-2,8,150,Brand,Autogard,Product Type,Clutches,Model,202-RR-2,Location,2014c2_LC1,eBay ID,
43798,MFG-000-2038,Autogard Torque Limiter 202-RR-3 3C/3,20,213.75,Brand,Autogard,Product Type,Torque Limiter,Model,202-RR-3 3C/3,Location,2014_C5,eBay ID,
44005,068-410-0005,Axle Turnover 003-109,,,Brand,-,Product Type,Axle Turnover,Model,003-109,Location,2014c6_LC2,eBay ID,
4717,MFG-000-0198,Baldor Industrial Motor M3587T,60,735,Brand,Baldor,Product Type,Motors,Model,M3587T,Location,2014c3,eBay ID,
20627,013-007-0003,Bando Belt AX33,1,10,Brand,Bando,Product Type,Belts,Model,AX33,Location,2014c1_LC1,eBay ID,
43786,MFG-000-2037,Bando DURAFLEX GL Band 3L-300,1,10,Brand,Bando,Product Type,Belts,Model,3L-300,Location,2014C2_LC5,eBay ID,
43785,013-002-0111,Bando PREMIUM V-BELT A-24,1,10,Brand,Bando,Product Type,Belts,Model,A-24,Location,2014C2_LC5,eBay ID,
11998,022-012-0327,"Banner Mini-Screen safety light curtain, MSR3224 and MSE3224",8,660,Brand,Banner,Product Type,Light Curtain,Model,MSR3224 & MSE3224,Location,2014c3,eBay ID,
20503,MFG-000-1699,Bell &amp; Gossett Relief Valve 790-30,2,55,Brand,Bell & Gossett,Product Type,"Relief Valves, Valves",Model,790-30,Location,2014c4_LC1,eBay ID,
6373,MFG-000-0317,Bell and Gossett 790-30,2,37,Brand,Bell & Gossett,Product Type,-,Model,790-30,Location,2014c4,eBay ID,
4706,022-038-0565,Blackbox Interface Cable CBCC275830,2,40,Brand,Black Box,Product Type,Cables,Model,CBCC275830,Location,2014c3_LC1,eBay ID,
4180,017-001-0139,Bondhus Coupler 480345020,3,65,Brand,Bondhus,Product Type,Coupler,Model,480345020,Location,2014c2_LC2,eBay ID,
43912,044-001-0126,Brake Hub 6488573-81,1,25,Brand,-,Product Type,Brake Hub,Model,6488573-81,Location,2014C5_LC4,eBay ID,
1220,MFG-000-0005,Browning Bearing VF2S-224,10,97,Brand,Browing,Product Type,Bearings,Model,VF2S-224,Location,2014c2_LC2,eBay ID,
4181,014-003-0050,Browning Flange Block Bearing SFB1000EX 3 7/16,35,307,Brand,Browning,Product Type,Bearing,Model,SFB1000EX 3 7/16,Location,2014c2,eBay ID,
5409,044-001-0014,Browning Torque Limiter T65LX138,20,150,Brand,Browning,Product Type,Torque Limiter,Model,T65LX138,Location,2014c1_LC1,eBay ID,
4182,009-900-0010,Burst Nozzle PB-JA-12-0078-50,1,110,Brand,Tokimec,Product Type,Nozzels,Model,PB-JA-12-0078-50,Location,2014c2_LC1,eBay ID,
4183,MFG-000-0164,CELEM Power Capacitors CSP 305A,1.5,65,Brand,Saginomiya,Product Type,Capacitors,Model,CSP 305A,Location,2014c2,eBay ID,
20505,036-468-0008,Center Ring VP2100,2,51,Brand,-,Product Type,Rings,Model,VP2100,Location,2014c4_LC1,eBay ID,
