ID,SKU,OLD NAME,NEW NAME,Short description,Weight (lbs),Regular price,Brands,Attribute 1 name,Brand,Attribute 1 visible,Attribute 1 global,Attribute 2 name,Product Type,Attribute 2 visible,Attribute 2 global,Attribute 3 name,Model,Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s)
45124,022-057-0014,110,Yokogawa - Analogue Panel Meter,-,,,Yokogawa,Brand,Yokogawa,1,1,Product Type,Analogue Panel Meter,1,1,Model,-,1,1,Location,2013C8_LC6
3780,002-001-0511,002-001-0511,SMC VX2111-00-9DZ-X472 Solenoid Valve,-,1.5,,SMC,Brand,SMC,1,1,Product Type,Solenoid Valve,1,1,Model,VX2111-00-9DZ-X472,1,1,Location,2013C2_LC1
5036,002-001-0517,002-001-0517,SMC NVFS4300-5FZ Valve,-,3,,SMC,Brand,SMC,1,1,Product Type,Valve,1,1,Model,NVFS4300-5FZ,1,1,Location,2013C6_LC4
22773,002-001-0608,002-001-0608,SMC VFS2410-1DZ Valve,-,2,,SMC,Brand,SMC,1,1,Product Type,Valve,1,1,Model,VFS2410-1DZ,1,1,Location,2013C6_LC1
5057,002-002-0070,002-002-0070,SMC VHS400-03-X1 Hand Valve,-,1,,SMC,Brand,SMC,1,1,Product Type,Hand Valve,1,1,Model,VHS400-03-X1,1,1,Location,2013c6_LC3
5053,002-003-0044,002-003-0044,SMC AS4000-04 Flow Control,-,1,,SMC,Brand,SMC,1,1,Product Type,Flow Control,1,1,Model,AS4000-04,1,1,Location,2013C6_LC1
1463,002-007-0109,002-007-0109,ASCO 8210G33VH Solenoid Valve,-,3,,ASCO,Brand,ASCO,1,1,Product Type,Solenoid Valve,1,1,Model,8210G33VH,1,1,Location,2013c4_lc2
3761,002-007-0155,002-007-0155,ASCO SC8210G101 Solenoid Valve,-,14,,ASCO,Brand,ASCO,1,1,Product Type,Solenoid Valve,1,1,Model,SC8210G101,1,1,Location,2013c2_LC2
3778,002-007-0215,002-007-0215,Bürkert 457568 Solenoid Valve,-,1,,Bürkert,Brand,Bürkert,1,1,Product Type,Solenoid Valve,1,1,Model,457568,1,1,Location,2013C2_LC1
4676,002-007-0231,002-007-0231,Line Seiki Co. RFP-14B(I)FS Counter,-,2,,Line Seiki Co.,Brand,Line Seiki Co.,1,1,Product Type,Counter,1,1,Model,RFP-14B(I)FS,1,1,Location,2013C4_LC1
5038,002-007-0272,002-007-0272,SMC VQ2100-5 Solenoid Valve,-,1,,SMC,Brand,SMC,1,1,Product Type,Solenoid Valve,1,1,Model,VQ2100-5,1,1,Location,2013C6_LC1
18161,002-007-0286,002-007-0286,ASCO 8040H7 Solenoid Valve,-,3,,ASCO,Brand,ASCO,1,1,Product Type,Solenoid Valve,1,1,Model,8040H7,1,1,Location,2013C2_LC1
3749,002-007-0304,002-007-0304,SMC VS4430 Solenoid Valve,-,5,,SMC,Brand,SMC,1,1,Product Type,Solenoid Valve,1,1,Model,VS4430,1,1,Location,2013c2_LC2
3779,002-011-0099,002-011-0099,SMC AV2000-02-5DZ Solenoid Valve,-,2,,SMC,Brand,SMC,1,1,Product Type,Solenoid Valve,1,1,Model,AV2000-02-5DZ,1,1,Location,2013C2_LC1
3833,002-011-0112,002-011-0112,NTS SSG-02-9C-R-A2-31 Solenoid Valve,-,3,,NTS,Brand,NTS,1,1,Product Type,Solenoid Valve,1,1,Model,SSG-02-9C-R-A2-31,1,1,Location,2013C2_LC1
5047,002-038-0026,002-038-0026,SMC VV71-R-AB Manifold Base,-,1,,SMC,Brand,SMC,1,1,Product Type,Manifold Base,1,1,Model,VV71-R-AB,1,1,Location,2013C6_LC4
4693,002-038-0029,002-038-0029,Norgren 33D Electronic Pressure Sensor,-,7,,Norgren,Brand,Norgren,1,1,Product Type,Electronic Pressure Sensor,1,1,Model,33D,1,1,Location,2013C4_LC1
1312,002-038-0060,002-038-0060,SMC NVV5FS3-01T-071 Manifold Assembly,-,6,,SMC,Brand,SMC,1,1,Product Type,Manifold Assembly,1,1,Model,NVV5FS3-01T-071,1,1,Location,2013c4_LC4
22683,002-038-0061,002-038-0061,SMC NVV553-OIT-071-03T Manifold,-,15,,SMC,Brand,SMC,1,1,Product Type,Manifold,1,1,Model,NVV553-OIT-071-03T,1,1,Location,2013C2_LC1
4687,002-038-0071,002-038-0071,SMC VX2321V-00-4D1 Vacuum Solenoid Valve,-,1,,SMC,Brand,SMC,1,1,Product Type,Vacuum Solenoid Valve,1,1,Model,VX2321V-00-4D1,1,1,Location,2013C4_LC1
22828,002-039-0050,002-039-0050,ASCO 904001608 Valve Rebuild Kit,-,2,,ASCO,Brand,ASCO,1,1,Product Type,Valve Rebuild Kit,1,1,Model,904001608,1,1,Location,2013c2_LC3
3811,002-039-0070,002-039-0070,ASCO 302383 Valve Rebuild Kit,-,2,,ASCO,Brand,ASCO,1,1,Product Type,Valve Rebuild Kit,1,1,Model,302383,1,1,Location,2013C2_LC1
3809,002-039-0123,002-039-0123,ASCO 302072 Valve Rebuild Kit,-,2,,ASCO,Brand,ASCO,1,1,Product Type,Valve Rebuild Kit,1,1,Model,302072,1,1,Location,2013C2_LC1
3768,002-048-0001,002-048-0001,SMC VQ7-6-FG-D-3 Solenoid Valve,-,3,,SMC,Brand,SMC,1,1,Product Type,Solenoid Valve,1,1,Model,VQ7-6-FG-D-3,1,1,Location,2013c2_LC3
3745,003-001-0021,003-001-0021,Norgren B74G-4AK-QD3-RMN Air Filter Regulator,-,4,,Norgren,Brand,Norgren,1,1,Product Type,Air Filter Regulator,1,1,Model,B74G-4AK-QD3-RMN,1,1,Location,2013c2_LC2
3751,003-001-0025,003-001-0025,SMC AR435-03 Air Regulator,-,3,,SMC,Brand,SMC,1,1,Product Type,Air Regulator,1,1,Model,AR435-03,1,1,Location,2013c2_LC2
5064,003-001-0059,003-001-0059,SMC NAL2000-N02-3C Air Line Lubricator,-,1,,SMC,Brand,SMC,1,1,Product Type,Air Line Lubricator,1,1,Model,NAL2000-N02-3C,1,1,Location,2013C6_LC4
3750,003-001-0066,003-001-0066,TACO R22-301-2020 Air Pressure Regulator,-,3,,TACO,Brand,TACO,1,1,Product Type,Air Pressure Regulator,1,1,Model,R22-301-2020,1,1,Location,2013c2_LC2
5043,003-001-0092,003-001-0092,SMC AR40-04 Air Pressure Regulator,-,2,,SMC,Brand,SMC,1,1,Product Type,Air Pressure Regulator,1,1,Model,AR40-04,1,1,Location,2013C6_LC4
8135,003-001-0165,003-001-0165,SMC AM550-10BD-X6 Mist Separator,-,6,,SMC,Brand,SMC,1,1,Product Type,Mist Separator,1,1,Model,AM550-10BD-X6,1,1,Location,2013c8_LC1
5060,003-001-0188,003-001-0188,SMC VEX1133-02-BGN Precision Air Regulator,-,1,,SMC,Brand,SMC,1,1,Product Type,Precision Air Regulator,1,1,Model,VEX1133-02-BGN,1,1,Location,2013C6_LC4
3810,003-001-0206,003-001-0206,SMC ARBF3000-00-A-1 Modular Air Pressure Regulator,-,3,,SMC,Brand,SMC,1,1,Product Type,Modular Air Pressure Regulator,1,1,Model,ARBF3000-00-A-1,1,1,Location,2013c2_LC2
4678,003-001-0256,003-001-0256,Master Pneumatic A64041SPL Lubricator,-,4,,Master Pneumatic,Brand,Master Pneumatic,1,1,Product Type,Lubricator,1,1,Model,A64041SPL,1,1,Location,2013C4_LC1
3747,003-001-0278,003-001-0278,SMC AF40-04B-JR Air Filter,-,3,,SMC,Brand,SMC,1,1,Product Type,Air Filter,1,1,Model,AF40-04B-JR,1,1,Location,2013c2_LC3
11913,003-030-0059,003-030-0059,SMC CDRA1BW63-100C Rotary Actuator,-,8,,SMC,Brand,SMC,1,1,Product Type,Rotary Actuator,1,1,Model,CDRA1BW63-100C,1,1,Location,2013C5_LC6
1254,003-030-0071,003-030-0071,SMC MSQB30H3 Rotary Table Actuator,-,6,,SMC,Brand,SMC,1,1,Product Type,Rotary Table Actuator,1,1,Model,MSQB30H3,1,1,Location,2013c3_LC1
1462,004-001-0149,004-001-0149,Ashcroft 451279AS02B30PSI Gauge,-,4,,Ashcroft,Brand,Ashcroft,1,1,Product Type,Gauge,1,1,Model,451279AS02B30PSI,1,1,Location,2013c3_LC1
