ID,SKU,Name before fix,Name via Formula,Weight (lbs),Regular price,Brand,Product Type,Model
37680,005-001-0091,Raytron AC2 Board,Raytron Tension Control Board 236,,,Raytron,Tension Control Board,236
13805,014-024-0001,Koyo 6410 Bearing,Koyo Bearing 6410,6,,Koyo,Bearing,6410
17398,008-028-0045,Safety Plug 22806,Molex Safety Plug 22806,2,,Molex,Safety Plug,22806
16579,MFG-000-1462,ASCO Redhat Rebuild Kit 100424,ASCO Rebuild Kit 100424,2,,ASCO,Rebuild Kit,100424
16578,MFG-000-1461,ASCO 200262 Valve,ASCO Valve 200262,2,,ASCO,Valve,200262
16571,MFG-000-1455,ASCO 302141 Valve,ASCO Valve 302141,2,,ASCO,Valve,302141
18163,002-039-0061,ASCO 302335 Rebuild Kit,ASCO Rebuild Kit 302335,2,,ASCO,Rebuild Kit,302335
18162,002-039-0064,ASCO 302373 Rebuild Kit,ASCO Rebuild Kit 302373,2,,ASCO,Rebuild Kit,302373
18721,MFG-000-1484,ASCO Redhat Kit Valve 302697,ASCO Valve 302697,3,,ASCO,Valve,302697
16581,MFG-000-1464,ASCO 302699 Valve,ASCO Valve 302699,2,,ASCO,Valve,302699
16576,MFG-000-1460,ASCO 826278 Valve,ASCO Valve 826278,2,,ASCO,Valve,826278
22672,041-001-0114,Youngblood 1340866 Heater Band,Heater Band 1340866,3,,-,Heater Band,1340866
18187,004-001-0120,Nisshin 7911389,Nisshin7911389,2,,Nisshin,-,7911389
18090,003-001-0062,ASCO 34203057 Regulator,ASCO Regulator 34203057,3,,ASCO,Regulator,34203057
18191,002-011-0114,Sharpe 293025010,Sharpe Check Valve 293025010,6,,Sharpe,Check Valve,293025010
18113,013-001-0429,Megadyne 250S8M960,Super Torque Belt,2,,Super Torque,Belt,-
39334,022-038-0740,Cable Cool -100C,Keyence Cable 022-038-0740,1,,Keyence,Cable,022-038-0740
39309,045-003-0005,Conveyor 1.88 OD 7777ROLLER,Roller 045-033-0005,1,,-,Roller,045-033-0005
16871,205-005-0413,Allen-Bradley Module 1394C-AM07,Allen-Bradley Module 1394C-AM07,10,,Allen-Bradley,Module,1394C-AM07
37692,031-001-0656,Allen-Bradley 1394C-SJT10-D Controller,Allen-Bradley Controller 1394C-SJT10-D,,,Allen-Bradley,Controller,1394C-SJT10-D
18124,003-001-0103,Parker Schrader Bellows 14L10GA,Schrader Bellows Lubricator Filter 14L10GASB,2,,Schrader Bellows,Lubricator Filter,14L10GASB
18087,005-005-0428,Allen-Bradley 1756-N2/B,Allen-Bradley Processor 1756-N2/B,1,,Allen-Bradley,Processor,1756-N2/B
18225,002-018-0024,Armstrong 1822LV Steam Trap,Armstrong Steam Trap 1822LV,9,,Armstrong,Steam Trap,1822LV
39275,027-002-0325,Filter Screen 20-8,Sanki Filter Screen 20-8,,,Sanki,Filter Screen,20-8
1325,002-004-0079,Jamesbury 21-1136TTC061 Ball Valve,Jamesbury Ball Valve 21-1136TTC061,4,,Jamesbury,Ball Valve,21-1136TTC061
16574,MFG-000-1458,ASCO 238210-032D Valve,ASCO Valve 238210-032D,2,,ASCO,Valve,238210-032D
18112,013-001-0428,Megadyne 250S8M880,Super Torque Belt 250-S8M-880,2,,Super Torque,Belt,250-S8M-880
18183,013-003-0831,Mol Belting Co. 2AR10OGU,Mol Belting Co. Belt 2AR10OGU,3,,Mol Belting Co.,Belt,2AR10OGU
18179,013-003-0241,Mol Belting Co. 2A,"Mol Belting Co. Belt 2AR2-0G-U-27""W-37'-11""L",35,,Mol Belting Co.,Belt,"2AR2-0G-U-27""W-37'-11""L"
18181,013-003-0245,Mol Belting Co. 2AR2OWUX19WX157,"Mol Belting Co. Belt 2AR2-0W-UX19""WX-15""-7""L",10,,Mol Belting Co.,Belt,"2AR2-0W-UX19""WX-15""-7""L"
17399,013-003-0883,Mol Belting Co. 2AR210BG-U-5P,Mol Belting Co. Belt 2AR210BG-U-5P,8,,Mol Belting Co.,Belt,2AR210BG-U-5P
18180,013-003-0256,Mol Belting Co. 2AR2OGULACED1712X248,Mol Belting Co. Belt 2AR2OGULACED1712X248,13,,Mol Belting Co.,Belt,2AR2OGULACED1712X248
18182,013-003-0834,Mol Belting Co. 2ROO390WX1880L,Mol Belting Co. Belt 2ROO390WX1880L,3,,Mol Belting Co.,Belt,2ROO390WX1880L
17411,022-011-0297,Automatic Timing & Controls Proximity Sensor 301-3-5110-26,Automatic Timing & Controls Proximity Sensor 301-3-5110-26,2,,Automatic Timing & Controls,Proximity Sensor,301-3-5110-26
39319,013-003-0268,Conv. Belt HAT8P 30MMX2065MM,PRAXAIR Belt 30MMX2065,1,,PRAXAIR,Belt,30MMX2065
39318,013-003-0267,Conv. Belt HAT8P 30MMX3485MM,Belt 30MMX3485MM,1,,-,Belt,30MMX3485MM
39317,013-003-0266,Conv. Belt HAT8P 30MMX4475MM,Belt 30MMX4475MM,1,,-,Belt,30MMX4475MM
18176,002-038-0030,Mac 35ASACRA11,MAC Valve 35A-SAC-RA11,1,,MAC,Valve,35A-SAC-RA11
39335,013-001-0510,Denso Belt 363-3GT-25,Denso Belt 410642-0480,1,,Denso,Belt,410642-0480
22854,MFG-000-1910,Oriental Motor 51K40GN-SWT2S Motor,Oriental Motor Motor 51K40GN-SWT2S,7,,Oriental Motor,Motor,51K40GN-SWT2S
16894,013-001-0047,Bando Belt 600-S14M-1806,Bando Belt 600-S14M-1806,3,,Bando,Belt,600-S14M-1806
18116,014-001-0106,NSK 6008VV,Koyo Bearing 6008 2RSC3 SKF,1,,Koyo,Bearing,6008 2RSC3 SKF
1347,014-001-0529,Nachi Bearing 6216-2NSL,Nachi Bearing 6216-2NSL,5,,Nachi,Bearing,6216-2NSL
16903,014-001-0431,NTN 7302CDF-GNP4 Bearing,NTN Bearing 7302C-DF-GNP4,2,,NTN,Bearing,7302C-DF-GNP4
18168,003-004-0090,Festo 7558KSV8,Festo Plug 7558KSV8*,3,,Festo,Plug,7558KSV8*
