ID,SKU,Name,Short description,Weight (lbs),Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Brand,Attribute 3 name,Product Type,Attribute 4 name,Model,Attribute 5 name,Attribute 5 value(s)
39334,022-038-0740,Cable Cool -100C,-,1,0,Location,2015C6_LC3,Brand,Keyence,Product Type,-,Model,-,eBay ID,
39319,013-003-0268,Conv. Belt HAT8P 30MMX2065MM,-,1,0,Location,2015C6_LC3,Brand,PRAXAIR,Product Type,-,Model,-,eBay ID,
39318,013-003-0267,Conv. Belt HAT8P 30MMX3485MM,-,1,0,Location,2015C6_LC3,Brand,-,Product Type,-,Model,-,eBay ID,
39317,013-003-0266,Conv. Belt HAT8P 30MMX4475MM,-,1,0,Location,2015C6_LC3,Brand,-,Product Type,-,Model,-,eBay ID,
39309,045-003-0005,Conveyor 1.88 OD 7777ROLLER,-,1,0,Location,2015c6,Brand,-,Product Type,-,Model,-,eBay ID,
37687,036-500-0031,Coupling M-500505-001,Do not post,1,,Location,2015c3,Brand,-,Product Type,Coupling,Model,-,eBay ID,
39355,060-001-0393,Coupling NEF04W-N15CXK19C,Do not post,1,,Location,2015C6_LC4,Brand,-,Product Type,Coupling,Model,-,eBay ID,
43928,040-405-0004,Cover 30-1,Do not post,1,,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
1460,MFG-000-0064,Baldor Reliance M3714T Industrial Motor 37G813S275H1,173352202914,80,1750,Location,2015c1,Brand,ASCO,Product Type,Motors,Model,M3714T,eBay ID,173352202914
43965,068-473-0001,Cover Plate 24-4,Do not post,1,,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
43982,068-525-0009,Dinse Shaft 374-70-090,Do not post,1,,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
43941,MFG-000-2041,Dinse Tip Adapter,Do not post,1,,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
43959,076-505-0058,Divider (Tube) 42-34,Do not post,1,,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
39244,036-615-0094,Duct. M-2108062-400,Do not post,1,,Location,2015C5_B2,Brand,-,Product Type,-,Model,-,eBay ID,
43974,064-001-0080,Finger 41-02,Do not post,1,,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
