Number,Type,SKU,Name,Column1,Attribute 1 name,Brand,Attribute 2 name,Product Type,Attribute 3 name,Model,Attribute 4 name,Location,Stock,Attribute 5 name,ID,Weight,Regular Price,Images,Attribute 1 visible,Attribute 1 global,Attribute 2 visible,Attribute 2 global,Attribute 3 visible,Attribute 3 global,Attribute 2 visible2,Attribute 4 global,Published,Visibility in catalog,In stock?
1,simple,231-005-0004,Denso Robot Controller RC3-S4A,"http://mfgpartsplus.com/wp-content/uploads/2025/09/C2020-25-0205.jpeg, http://mfgpartsplus.com/wp-content/uploads/2025/09/C2020-25-0206.jpeg",Brand,Denso,Product Type,Robot Controller,Model,RC3-S4A,Location,2020_C2,7,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
2,simple,205-020-0026,Yaskawa Teach Pendant 410109-0020,"C2020-25-0208.jpeg, C2020-25-0209.jpeg",Brand,Yaskawa,Product Type,Teach Pendant,Model,410109-0020,Location,2020_C2,9,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
3,simple,205-020-0016,FANUC Teach Pendant JZNC-XPP02B,"C2020-25-0211, C2020-25-0212",Brand,FANUC,Product Type,Teach Pendant,Model,JZNC-XPP02B,Location,2020_C2,2,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
4,simple,205-012-0129, Servo Encoder E321-45-2002,"C2020-25-0214, C2020-25-0215",Brand,-,Product Type,Servo Encoder,Model,E321-45-2002,Location,2020_C2,4,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
5,simple,005-005-0646,Allen-Bradley ControlLogix 10-Slot Chassis 1756-A10 B,"C2020-25-0217, C2020-25-0218, C2020-25-0219",Brand,Allen-Bradley,Product Type,ControlLogix 10-Slot Chassis,Model,1756-A10 B,Location,2020_C2,1,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
6,simple,-,Camco Ferguson Variable Frequency Drive (VFD) / Inverter Drive 92C85797020000,C2020-25-0221,Brand,Camco Ferguson,Product Type,Variable Frequency Drive (VFD) / Inverter Drive,Model,92C85797020000,Location,2020_C2,1,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
7,simple,-,Belden Cable 8761 060 (CHR) 100 FT 305 MTR,,Brand,Belden,Product Type,Cable,Model,8761 060 (CHR) 100 FT 305 MTR,Location,2020_C2,1,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
8,simple,-,J.O. Galloup Company Silicone Cord Stock 3767716,,Brand,J.O. Galloup Company,Product Type,Silicone Cord Stock,Model,3767716,Location,2020_C2,1,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
9,simple,005-012-0838,NSD Rotary Encoder (Absocoder) MRE-G320S80ZFA-L,,Brand,NSD,Product Type,Rotary Encoder (Absocoder),Model,MRE-G320S80ZFA-L,Location,2020_C2_lc1,1,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
10,simple,805-012-0131,NSD Rotary Encoder (Absocoder) MRE-G2560SS062FAL,,Brand,NSD,Product Type,Rotary Encoder (Absocoder),Model,MRE-G2560SS062FAL,Location,2020_C2_lc1,1,eBay ID,-,,,,1,1,1,1,1,1,1,1,1,visible,1
