Brand,Stock,Model,Other ID Info,Product Type,Engine Model,Emissions Tier,Voltage,Configuration,Approx. Weight,Condition,What It Goes To,Who Would Buy It,Tips When Listing or Sourcing
Fleetguard,8,AH19334,711091N-10 / 23116,Air Housing,Likely QSX15 or ISX15,Likely Tier 4 Final,—,—,~30–35 lbs,New (boxed),Cummins-powered generators / off-road equipment,"Diesel mechanics, engine rebuilders","HS code: 8421.39.80, include PN and brand in listing"
Fleetguard,12,AP8410,081500 / 19982,"6"" R Fleetguard Precleaner",Universal Fit,—,—,—,~3–4 lbs,New (boxed),Air intake pre-filter for heavy equipment and diesel engine applications,"Equipment yards, off-road fleet owners","Include inlet size (6”), HS code: 8421.31.0000"
Fleetguard,8,AH19076,10000466 / 717635M-A,"18"" Air Cleaner Housing",Common on QSK or QSX,Tier 3 / Tier 4,—,—,~40–50 lbs,New (boxed),"Cummins genset models: 21DC, 26MC, and 26LC","Genset rebuilders, off-road diesel techs",HS code: 8421.39.8015; pairs with AF55444 or AF55706 filters
Cummins,1,A050C214-10,23012460586 / A050Z775-10,T4 HDFM PF QSG SISO H 12V,QSG12,Tier 4 Final,12V,SISO,~95–105 lbs,New (boxed),"Cummins QSG12-powered Tier 4 Final off-highway equipment, gensets, machines","Equipment dealers, Tier 4 fleet managers",HS Code: 8421.39.8015; yellow-tag PF unit; TLA = Aftertreatment
Cummins,1,A050Z775-10,22123037670,T4 HDFM SCR TLA QSG SISO H 12V,QSG12,Tier 4 Final,12V,SISO,~120–130 lbs,New (boxed),Tier 4 Final aftertreatment system on off-road equipment powered by QSG12 engines,"Dealers, emissions system suppliers","HS Code: 8421.39.8015; SCR unit, TLA config; yellow tag part"
Fleetguard,11,AH55644VE,10001866 / 24GC,"Air Cleaner, Direct Flow (18"")",Likely ISX15,Tier 3 / Tier 4,—,—,~45–55 lbs,New (boxed),"Heavy-duty trucks, gensets, or off-road equipment with Cummins ISX engines","Diesel fleet managers, rebuilders",HS code: 8421.39.8015; direct flow type; cross to AH55644
HYDAC,8,A060R046,Order: 1512369/90 / Material: 7704133,Hydraulic Reservoir Assembly,—,—,—,—,~65–75 lbs,New (boxed),"Industrial hydraulic systems, presses, injection molding machines, gensets","Hydraulic system builders, OEM techs","Cross-check reservoir volume, NPT port sizes, and bracket type"
HYDAC,16,A076Y682,Order: 1390599/20 / Material: 7706180,Hydraulic Reservoir Assembly,—,—,—,—,~70–80 lbs,New (boxed),"Fluid power systems, heavy-duty mobile equipment, or industrial machines","Hydraulic shops, machine OEMs","Include reservoir ID, suction return specs, breather style"
Cummins,8,A043A509‑10,Job No. MO-6110346,Emissions System Assembly (likely SCR or DOC),Unknown,Tier 4 Final (assumed),—,—,~90–100 lbs,New (boxed),Likely part of QSL / QSB Tier 4 Final aftertreatment system,"Emissions techs, engine suppliers",Match against A043A4xx series for config verification
Fleetguard,48,AH19491,Label code: 23DE / 819/2021,Air Cleaner Assembly,Likely QSB / ISB,Tier 3 or 4,—,—,~35–40 lbs,New (boxed),Medium-duty gensets or off-road diesel systems (23–40 kW class),"Equipment rental firms, diesel rebuilders","Pair with radial seal filter (e.g., AF55308); HS code: 8421.31.0000"
